Link,Lat,Lng
"<b><a href='http://csmpr.org/services/clinica-hatillo/'>Corporación de Servicios Médicos, Hatillo</a></b><br>Road PR-2 Km 86.6 Medical Tower Building</br>Hatillo, PR<br><b>(787) 898-4190</b>",18.48760684,-66.815819
"<b><a href='http://csmpr.org/services/clinica-utuado/'>Corporación de Servicios Médicos, Utuado</a></b><br>Antonio R. Barceló Street #5</br>Utuado, PR<br><b>(787) 680-2019</b>",18.26615328,-66.69872408
"<b><a href='http://csmpr.org/services/clinica-arecibo/'>Corporación de Servicios Médicos, Arecibo</a></b><br>540 Miramar Avenue</br>Arecibo, PR<br><b>(787) 680-2190</b>",18.47249852,-66.73044419
"<b><a href='http://csmpr.org/services/clinica-aguadilla/'>Corporación de Servicios Médicos, Aguadilla</a></b><br>Road PR-107 Km 0.7</br>Aguadilla, PR<br><b>(787) 229-2222</b>",18.44933623,-67.15085629
"<b><a href='http://www.capitas.com/'>Capitas, Inc.</a></b><br>1079 Av. Miramar</br>Arecibo, PR<br><b>(787) 878-5778</b> ",18.47443122,-66.74652636
"<b><a href='https://www.camuyhealthservicesinc.com/'>Camuy Health Services, Inc.</a></b><br>Carr. #63 Ave. Muñoz Rivera</br>Camuy, PR<br><b>(787) 898-2660</b>",18.48406058,-66.84315657
"<b><a href='https://www.inspirapr.com/'>Inspira, Caguas</a></b><br>Consolidate Mall, Anexo B-5</br>Caguas, PR<br><b>(787) 704-0705</b>",18.23142414,-66.04053965
"<b><a href='https://www.inspirapr.com/'>Inspira, Auxilio Mutuo</a></b><br>Torre Médica Auxilio Mutuo, Ofic 410</br>San Juan, PR<br><b>(787) 704-0705</b>",18.40950336,-66.0528474
"<b><a href='https://www.inspirapr.com/'>Inspira, Carolina</a></b><br>Century Business Park, Carr. 848, Esq. 887</br>Carolina, PR<br><b>(787) 704-0705</b>",18.38697715,-65.98074215
"<b><a href='https://www.inspirapr.com/'>Inspira, Rio Grande</a></b><br>Urb. Industrial Las Flores, Carr. 3, Km. 23.9</br>Rio Grande, PR<br><b>(787) 704-0705</b>",18.37737106,-65.83587066
"<b><a href='https://www.inspirapr.com/'>Inspira, Culebra</a></b><br>Calle William Font, Final</br>Culebra, PR<br><b>(787) 704-0705</b>",18.30305844,-65.30285151
